Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691112
,TGB.M.4F.E.A094T.U2.EUR.A,TGB.M.4F.E.A094T.U2.EUR.E,TGB.M.AT.N.A094T.U2.EUR.A,TGB.M.AT.N.A094T.U2.EUR.E,TGB.M.BE.N.A094T.U2.EUR.A,TGB.M.BE.N.A094T.U2.EUR.E,TGB.M.CY.N.A094T.U2.EUR.A,TGB.M.CY.N.A094T.U2.EUR.E,TGB.M.DE.N.A094T.U2.EUR.A,TGB.M.DE.N.A094T.U2.EUR.E,TGB.M.EE.N.A094T.U2.EUR.A,TGB.M.EE.N.A094T.U2.EUR.E,TGB.M.ES.N.A094T.U2.EUR.A,TGB.M.ES.N.A094T.U2.EUR.E,TGB.M.FI.N.A094T.U2.EUR.A,TGB.M.FI.N.A094T.U2.EUR.E,TGB.M.FR.N.A094T.U2.EUR.A,TGB.M.FR.N.A094T.U2.EUR.E,TGB.M.GR.N.A094T.U2.EUR.A,TGB.M.GR.N.A094T.U2.EUR.E,TGB.M.IE.N.A094T.U2.EUR.A,TGB.M.IE.N.A094T.U2.EUR.E,TGB.M.IT.N.A094T.U2.EUR.A,TGB.M.IT.N.A094T.U2.EUR.E,TGB.M.LT.N.A094T.U2.EUR.A,TGB.M.LT.N.A094T.U2.EUR.E,TGB.M.LU.N.A094T.U2.EUR.A,TGB.M.LU.N.A094T.U2.EUR.E,TGB.M.LV.N.A094T.U2.EUR.A,TGB.M.LV.N.A094T.U2.EUR.E,TGB.M.MT.N.A094T.U2.EUR.A,TGB.M.MT.N.A094T.U2.EUR.E,TGB.M.NL.N.A094T.U2.EUR.A,TGB.M.NL.N.A094T.U2.EUR.E,TGB.M.PT.N.A094T.U2.EUR.A,TGB.M.PT.N.A094T.U2.EUR.E,TGB.M.SI.N.A094T.U2.EUR.A,TGB.M.SI.N.A094T.U2.EUR.E,TGB.M.SK.N.A094T.U2.EUR.A,TGB.M.SK.N.A094T.U2.EUR.E,TGB.M.U4.N.A094T.U2.EUR.A,TGB.M.U4.N.A094T.U2.EUR.E
,"European Central Bank (ECB), ECB, Average of observations through period","European Central Bank (ECB), ECB, End of period","Austria, NCBs, Average of observations through period","Austria, NCBs, End of period","Belgium, NCBs, Average of observations through period","Belgium, NCBs, End of period","Cyprus, NCBs, Average of observations through period","Cyprus, NCBs, End of period","Germany, NCBs, Average of observations through period","Germany, NCBs, End of period","Estonia, NCBs, Average of observations through period","Estonia, NCBs, End of period","Spain, NCBs, Average of observations through period","Spain, NCBs, End of period","Finland, NCBs, Average of observations through period","Finland, NCBs, End of period","France, NCBs, Average of observations through period","France, NCBs, End of period","Greece, NCBs, Average of observations through period","Greece, NCBs, End of period","Ireland, NCBs, Average of observations through period","Ireland, NCBs, End of period","Italy, NCBs, Average of observations through period","Italy, NCBs, End of period","Lithuania, NCBs, Average of observations through period","Lithuania, NCBs, End of period","Luxembourg, NCBs, Average of observations through period","Luxembourg, NCBs, End of period","Latvia, NCBs, Average of observations through period","Latvia, NCBs, End of period","Malta, NCBs, Average of observations through period","Malta, NCBs, End of period","Netherlands, NCBs, Average of observations through period","Netherlands, NCBs, End of period","Portugal, NCBs, Average of observations through period","Portugal, NCBs, End of period","Slovenia, NCBs, Average of observations through period","Slovenia, NCBs, End of period","Slovakia, NCBs, Average of observations through period","Slovakia, NCBs, End of period","Extra Euro area, NCBs, Average of observations through period","Extra Euro area, NCBs, End of period"
Collection:,Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E),Average of observations through period (A),End of period (E)
Period\Unit:,[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro]
2020Jun,-204589.64,-259944.34,-36802.68,-36693.71,-63908.88,-63148.02,7322.72,7283.33,949991.05,995082.75,849.89,-291.89,-455008.75,-462417.36,64359.27,72412.58,5832.42,48263.50,-62346.54,-66292.41,50479.83,51016.06,-526435.06,-536721.88,3601.22,3828.55,232926.07,234738.44,-3078.35,-3975.93,5501.36,6057.94,82832.84,69724.14,-78335.14,-82713.80,7562.89,7542.19,14986.92,13655.19,4258.57,2594.67
2020May,-140045.08,-145451.48,-39910.46,-36636.43,-67779.00,-79644.78,7987.73,7575.22,938518.49,916144.66,698.81,830.04,-437351.66,-451798.02,68659.14,72686.04,-73315.67,-19998.90,-51770.06,-55922.96,44541.93,47581.82,-525378.30,-517347.26,2678.32,3602.57,221575.36,224585.76,-2104.75,-2189.39,5335.95,5447.15,92684.40,77858.01,-71994.86,-72034.67,6901.04,7207.95,15671.42,14566.43,4397.25,2938.25
2020Apr,-141005.55,-131046.55,-39535.21,-45978.10,-61206.92,-65204.41,8293.70,8869.52,911528.46,918813.83,624.41,635.98,-410801.66,-431474.17,60826.25,67708.33,-95655.67,-68512.29,-41992.63,-46733.53,43445.91,42332.97,-501833.24,-512899.12,531.29,588.08,227436.80,225823.13,-2356.73,-1975.57,5402.51,5358.35,81910.45,81454.76,-71090.95,-69902.59,5933.20,6694.35,14915.56,12582.79,4630.01,2864.23
2020Mar,-216035.05,-143625.19,-38139.78,-37535.92,-40553.48,-52817.42,8248.98,7711.20,887124.79,935126.03,187.48,246.50,-377902.06,-407429.04,65242.28,63441.78,-92730.30,-109383.55,-30609.21,-37018.42,41601.59,36626.08,-431657.25,-491641.52,224.90,-96.80,216206.93,225092.58,-3626.64,-3382.62,5335.56,5709.01,60224.48,62766.60,-74089.54,-73789.47,2868.95,4474.90,13969.88,12604.85,4107.48,2920.44
2020Feb,-252130.25,-253573.50,-40659.90,-41209.42,-38563.39,-36213.37,9393.73,8554.19,804003.90,821562.58,190.04,23.60,-373576.57,-377991.25,73128.73,79910.55,-17946.67,-44328.86,-24467.17,-25413.70,42822.30,43169.48,-396863.33,-384717.24,-40.69,104.98,207962.74,211764.34,-3674.79,-3619.66,5250.02,5351.14,58333.34,50676.61,-74062.22,-73336.68,3192.83,3095.11,13776.77,12527.00,3930.57,3664.10
2020Jan,-247539.82,-253743.84,-40871.45,-42467.40,-38946.09,-27640.23,8626.03,9519.97,803119.66,811434.90,475.09,404.17,-380979.45,-390316.04,65949.09,63331.80,-15937.04,-20904.46,-26142.00,-26170.07,38760.96,40995.58,-399640.06,-383247.62,390.84,682.75,211513.37,217133.12,-3822.34,-3709.33,5161.43,5196.15,74837.22,55478.43,-76036.63,-74850.43,3828.59,3285.04,13539.65,12346.99,3712.94,3240.53
2019Dec,-236760.80,-236127.97,-41589.02,-46638.92,-42577.94,-63710.10,7906.90,8495.81,861484.43,895218.65,588.91,622.18,-376250.25,-392384.09,61824.61,57067.10,-22036.15,28457.87,-25597.67,-25658.09,36881.54,35365.03,-425142.81,-439448.95,23.25,-870.15,198652.76,192406.00,-3868.41,-3826.45,5270.45,5562.46,60655.63,46431.02,-77959.87,-76976.19,2848.32,3441.19,12123.12,9302.83,3523.00,3270.76
