Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?type=series&q=m1&node=SEARCHRESULTS&ec=&oc=&rc=&cv=&pb=&dc=&df=
,BSI.M.U2.Y.V.M10.X.1.U2.2300.Z01.E,RTD.M.S0.N.M_M1_V_NC.E
,"Euro area (changing composition), Outstanding amounts at the end of the period (stocks), MFIs, central government and post office giro institutions reporting sector - Monetary aggregate M1, All currencies combined - Euro area (changing composition) counterpart, Non-MFIs excluding central government sector, denominated in Euro, data Working day and seasonally adjusted","Euro area (moving concept in the Real Time database context) - Monetary aggregate M1, all currencies combined - MFIs, central government and post office giro institutions reporting sector - Euro area counterpart, Non-MFIs excluding central government sector - outstanding amounts at the end of the period (stocks) - Euro"
Collection:,End of period (E),End of period (E)
Period\Unit:,[Millions of Euro],[Millions of Euro]
2020Jul,9784071,
2020Jun,9705477,
2020May,9631254,
2020Apr,9506460,9507827
2020Mar,9337082,9337081
2020Feb,9062821,9062820
2020Jan,8971893,8971895
2019Dec,8944195,8943787
2019Nov,8932648,8932648
2019Oct,8881658,8881658
2019Sep,8809648,8809648
2019Aug,8771059,8771059
2019Jul,8680194,8680194
2019Jun,8604414,8604414
2019May,8550690,8550690
2019Apr,8491107,8491107
2019Mar,8456363,8456363
2019Feb,8373198,8373198
2019Jan,8308169,8308169
2018Dec,8278056,8278056
2018Nov,8240131,8240131
2018Oct,8191654,8191654
2018Sep,8157025,8157032
2018Aug,8086523,8086523
2018Jul,8049811,8049811
2018Jun,8023748,8023748
2018May,7975725,7975725
2018Apr,7897114,7897114
2018Mar,7853783,7853783
2018Feb,7840794,7840794
2018Jan,7807126,7807126
2017Dec,7750111,7750111
2017Nov,7714361,7714361
2017Oct,7662139,7662139
2017Sep,7623913,7623913
2017Aug,7581400,7581400
2017Jul,7519014,7519014
2017Jun,7473339,7473339
2017May,7421705,7421705
2017Apr,7396497,7396497
2017Mar,7342482,7342482
2017Feb,7264199,7264199
2017Jan,7206138,7206138
2016Dec,7158714,7158714
2016Nov,7140654,7140654
2016Oct,7061015,7061015
2016Sep,7004305,7004305
2016Aug,6975018,6975018
2016Jul,6932571,6932571
2016Jun,6863893,6863893
2016May,6844415,6844415
2016Apr,6803029,6803029
2016Mar,6759064,6759064
2016Feb,6733758,6733758
2016Jan,6676253,6676253
2015Dec,6614314,6614314
2015Nov,6583547,6583547
2015Oct,6528247,6528247
2015Sep,6461165,6461165
2015Aug,6425439,6425439
2015Jul,6390588,6390588
2015Jun,6315456,6315456
2015May,6275937,6275937
2015Apr,6207127,6207127
2015Mar,6149589,6149589
2015Feb,6091409,6091409
2015Jan,6037446,6037446
2014Dec,5944224,5944224
2014Nov,5792905,5792905
2014Oct,5722986,5722986
2014Sep,5681168,5681168
2014Aug,5631454,5631454
2014Jul,5581223,5581223
2014Jun,5542006,5542006
2014May,5515749,5515749
2014Apr,5481147,5481147
2014Mar,5474122,5474122
2014Feb,5450665,5450665
2014Jan,5416147,5416147
2013Dec,5384753,5384753
2013Nov,5401634,5401634
2013Oct,5382140,5382140
2013Sep,5344032,5344032
2013Aug,5313782,5313782
2013Jul,5273796,5273796
2013Jun,5240613,5240613
2013May,5241221,5241221
2013Apr,5213316,5213316
2013Mar,5176416,5176416
2013Feb,5145986,5145986
2013Jan,5106986,5106986
2012Dec,5102620,5102620
2012Nov,5095364,5095364
2012Oct,5073502,5073502
2012Sep,5028346,5028346
2012Aug,5003166,5003166
2012Jul,4969814,4969814
2012Jun,4905868,4905868
2012May,4882741,4882741
2012Apr,4831052,4831052
2012Mar,4854810,4854810
2012Feb,4825985,4825985
2012Jan,4819937,4819937
2011Dec,4803639,4803639
2011Nov,4791163,4791163
2011Oct,4778972,4778972
2011Sep,4772859,4772859
2011Aug,4765672,4765672
2011Jul,4734429,4734429
2011Jun,4726730,4726730
2011May,4709734,4709734
2011Apr,4712004,4712004
2011Mar,4727451,4727451
2011Feb,4717723,4717723
2011Jan,4715428,4715428
2010Dec,4709706,4709706
2010Nov,4688394,4688394
2010Oct,4678920,4678920
2010Sep,4677418,4677418
2010Aug,4693587,4693587
2010Jul,4679379,4679379
2010Jun,4673602,4673602
2010May,4649851,4649851
2010Apr,4632521,4632521
2010Mar,4581206,4581206
2010Feb,4568994,4568994
2010Jan,4546051,4546051
2009Dec,4500560,4500560
2009Nov,4467108,4467108
2009Oct,4447335,4447335
2009Sep,4400829,4400829
2009Aug,4345773,4345773
2009Jul,4313849,4313849
2009Jun,4257484,4257484
2009May,4208701,4208701
2009Apr,4192725,4192725
2009Mar,4147893,4147893
2009Feb,4131352,4131352
2009Jan,4090044,4090044
2008Dec,3992465,3992465
2008Nov,3967899,3967899
2008Oct,3976810,3976810
2008Sep,3884567,3884567
2008Aug,3822677,3822677
2008Jul,3829909,3829909
2008Jun,3856708,3856708
2008May,3856669,3856669
2008Apr,3841251,3841251
2008Mar,3859530,3859530
