Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?type=series&q=m1&node=SEARCHRESULTS&ec=&oc=&rc=&cv=&pb=&dc=&df=
,BSI.M.U2.Y.V.M10.X.1.U2.2300.Z01.E,RTD.M.S0.Y.M_M1_V_NC.E
,"Euro area (changing composition), Outstanding amounts at the end of the period (stocks), MFIs, central government and post office giro institutions reporting sector - Monetary aggregate M1, All currencies combined - Euro area (changing composition) counterpart, Non-MFIs excluding central government sector, denominated in Euro, data Working day and seasonally adjusted","Euro area (moving concept in the Real Time database context) - Monetary aggregate M1, all currencies combined - MFIs, central government and post office giro institutions reporting sector - Euro area counterpart, Non-MFIs excluding central government sector - outstanding amounts at the end of the period (stocks) - Euro"
Collection:,End of period (E),End of period (E)
Period\Unit:,[Millions of Euro],[Millions of Euro]
2020Jul,9784071,
2020Jun,9705477,
2020May,9631254,
2020Apr,9506460,9491556
2020Mar,9337082,9311835
2020Feb,9062821,9012450
2020Jan,8971893,8927082
2019Dec,8944195,8974994
2019Nov,8932648,8972446
2019Oct,8881658,8847152
2019Sep,8809648,8789789
2019Aug,8771059,8787877
2019Jul,8680194,8699047
2019Jun,8604414,8670331
2019May,8550690,8576244
2019Apr,8491107,8488904
2019Mar,8456363,8442924
2019Feb,8373198,8305102
2019Jan,8308169,8264091
2018Dec,8278056,8302851
2018Nov,8240131,8256565
2018Oct,8191654,8160070
2018Sep,8157025,8152467
2018Aug,8086523,8082059
2018Jul,8049811,8080582
2018Jun,8023748,8086607
2018May,7975725,7994792
2018Apr,7897114,7892058
2018Mar,7853783,7840110
2018Feb,7840794,7777065
2018Jan,7807126,7767190
2017Dec,7750111,7786268
2017Nov,7714361,7723960
2017Oct,7662139,7646118
2017Sep,7623913,7620421
2017Aug,7581400,7571611
2017Jul,7519014,7544127
2017Jun,7473339,7515757
2017May,7421705,7436957
2017Apr,7396497,7406432
2017Mar,7342482,7309106
2017Feb,7264199,7218433
2017Jan,7206138,7183654
2016Dec,7158714,7194126
2016Nov,7140654,7145988
2016Oct,7061015,7043698
2016Sep,7004305,6984640
2016Aug,6975018,6961951
2016Jul,6932571,6967678
2016Jun,6863893,6901672
2016May,6844415,6867588
2016Apr,6803029,6815411
2016Mar,6759064,6721636
2016Feb,6733758,6688444
2016Jan,6676253,6666032
2015Dec,6614314,6631821
2015Nov,6583547,6592451
2015Oct,6528247,6525535
2015Sep,6461165,6438390
2015Aug,6425439,6416268
2015Jul,6390588,6408579
2015Jun,6315456,6361567
2015May,6275937,6302867
2015Apr,6207127,6203808
2015Mar,6149589,6119643
2015Feb,6091409,6061479
2015Jan,6037446,6031110
2014Dec,5944224,5967949
2014Nov,5792905,5808011
2014Oct,5722986,5707826
2014Sep,5681168,5669000
2014Aug,5631454,5629173
2014Jul,5581223,5592578
2014Jun,5542006,5582074
2014May,5515749,5537554
2014Apr,5481147,5479978
2014Mar,5474122,5442028
2014Feb,5450665,5409151
2014Jan,5416147,5399965
2013Dec,5384753,5425926
2013Nov,5401634,5412907
2013Oct,5382140,5365733
2013Sep,5344032,5329052
2013Aug,5313782,5307183
2013Jul,5273796,5281271
2013Jun,5240613,5291405
2013May,5241221,5247022
2013Apr,5213316,5221702
2013Mar,5176416,5152532
2013Feb,5145986,5101877
2013Jan,5106986,5092404
2012Dec,5102620,5151391
2012Nov,5095364,5091616
2012Oct,5073502,5056470
2012Sep,5028346,5022848
2012Aug,5003166,4979011
2012Jul,4969814,4982750
2012Jun,4905868,4958227
2012May,4882741,4883085
2012Apr,4831052,4837149
2012Mar,4854810,4831826
2012Feb,4825985,4781846
2012Jan,4819937,4815736
2011Dec,4803639,4866634
2011Nov,4791163,4782428
2011Oct,4778972,4765507
2011Sep,4772859,4758480
2011Aug,4765672,4732792
2011Jul,4734429,4751436
2011Jun,4726730,4769348
2011May,4709734,4714712
2011Apr,4712004,4726866
2011Mar,4727451,4692936
2011Feb,4717723,4677691
2011Jan,4715428,4711971
2010Dec,4709706,4754390
2010Nov,4688394,4687752
2010Oct,4678920,4671805
2010Sep,4677418,4664407
2010Aug,4693587,4663060
2010Jul,4679379,4696209
2010Jun,4673602,4713441
2010May,4649851,4663769
2010Apr,4632521,4625855
2010Mar,4581206,4544318
2010Feb,4568994,4538879
2010Jan,4546051,4554112
2009Dec,4500560,4556171
2009Nov,4467108,4472348
2009Oct,4447335,4434569
2009Sep,4400829,4379347
2009Aug,4345773,4317628
2009Jul,4313849,4311001
2009Jun,4257484,4311633
2009May,4208701,4221129
2009Apr,4192725,4197570
2009Mar,4147893,4130772
2009Feb,4131352,4101868
2009Jan,4090044,4096150
2008Dec,3992465,4035742
2008Nov,3967899,3969681
2008Oct,3976810,3944467
2008Sep,3884567,3877017
2008Aug,3822677,3790298
2008Jul,3829909,3839031
2008Jun,3856708,3914925
2008May,3856669,3868022
2008Apr,3841251,3837533
2008Mar,3859530,3852527
