Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?org.apache.struts.taglib.html.TOKEN=eac17648c1bf45f0747dff62c2fe0e6d&df=true&ec=1&dc=&oc=0&pb=1&rc=0&DATASET=133&removeItem=&removedItemList=&mergeFilter=&activeTab=BSI&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=SEARCHRESULTS&q=m2&type=series&legendRef=reference&legendPub=published&legendNor=
,RTD.M.S0.N.M_M2_V_NC.E
,"Euro area (moving concept in the Real Time database context) - Monetary aggregate M2, all currencies combined - MFIs, central government and post office giro institutions reporting sector - Euro area counterpart, Non-MFIs excluding central government sector - outstanding amounts at the end of the period (stocks) - Euro"
Collection:,End of period (E)
Period\Unit:,[Millions of Euro]
2020Apr,12955954
2020Mar,12776433
2020Feb,12487571
2020Jan,12397079
2019Dec,12377138
2019Nov,12373531
2019Oct,12334797
2019Sep,12274376
2019Aug,12232006
2019Jul,12128899
2019Jun,12054006
2019May,12007097
2019Apr,11941790
2019Mar,11888753
2019Feb,11804897
2019Jan,11732958
2018Dec,11702004
2018Nov,11663626
2018Oct,11620106
2018Sep,11574001
2018Aug,11509177
2018Jul,11485741
2018Jun,11472228
2018May,11401198
2018Apr,11318142
2018Mar,11283850
2018Feb,11277319
2018Jan,11256941
2017Dec,11208451
2017Nov,11177146
2017Oct,11138220
2017Sep,11104270
2017Aug,11070175
2017Jul,11005991
2017Jun,10971877
2017May,10925261
2017Apr,10912685
2017Mar,10879304
2017Feb,10811904
2017Jan,10754912
2016Dec,10709459
2016Nov,10665619
2016Oct,10594613
2016Sep,10573618
2016Aug,10534577
2016Jul,10507429
2016Jun,10443518
2016May,10418205
2016Apr,10380921
2016Mar,10343686
2016Feb,10319539
2016Jan,10273486
2015Dec,10218452
2015Nov,10182320
2015Oct,10125850
2015Sep,10065587
2015Aug,10032367
2015Jul,10010637
2015Jun,9937469
2015May,9913377
2015Apr,9865829
2015Mar,9812749
2015Feb,9761642
2015Jan,9745182
2014Dec,9677848
2014Nov,9563721
2014Oct,9499941
2014Sep,9482580
2014Aug,9438039
2014Jul,9391585
2014Jun,9356698
2014May,9337017
2014Apr,9288823
2014Mar,9283402
2014Feb,9266561
2014Jan,9238254
2013Dec,9210449
2013Nov,9234286
2013Oct,9220947
2013Sep,9198980
2013Aug,9183190
2013Jul,9149024
2013Jun,9126481
2013May,9128739
2013Apr,9106245
2013Mar,9082879
2013Feb,9050108
2013Jan,9015575
2012Dec,8998405
2012Nov,8973849
2012Oct,8949445
2012Sep,8879391
2012Aug,8845253
2012Jul,8827440
2012Jun,8775683
2012May,8748380
2012Apr,8703800
2012Mar,8721957
2012Feb,8680860
2012Jan,8642483
2011Dec,8607044
2011Nov,8588996
2011Oct,8571232
2011Sep,8592755
2011Aug,8559136
2011Jul,8513275
2011Jun,8494517
2011May,8479374
2011Apr,8455926
2011Mar,8458161
2011Feb,8443787
2011Jan,8435555
2010Dec,8422140
2010Nov,8404509
2010Oct,8387637
2010Sep,8370140
2010Aug,8368370
2010Jul,8329891
2010Jun,8313226
2010May,8283761
2010Apr,8264303
2010Mar,8230612
2010Feb,8229360
2010Jan,8221141
2009Dec,8208612
2009Nov,8180304
2009Oct,8194264
2009Sep,8191515
2009Aug,8176484
2009Jul,8183283
2009Jun,8154278
2009May,8141524
2009Apr,8147736
2009Mar,8094129
2009Feb,8111295
2009Jan,8087992
2008Dec,8041456
2008Nov,8034300
2008Oct,8009503
2008Sep,7867994
2008Aug,7788002
2008Jul,7752006
2008Jun,7699257
2008May,7673591
2008Apr,7616853
2008Mar,7536575
2008Feb,7504840
2008Jan,7441652
2007Dec,7355317
2007Nov,7320585
2007Oct,7267688
2007Sep,7164525
2007Aug,7099039
2007Jul,7058071
2007Jun,6985926
2007May,6918967
2007Apr,6850562
2007Mar,6824756
2007Feb,6739876
2007Jan,6705425
2006Dec,6663668
2006Nov,6555359
2006Oct,6500312
2006Sep,6487244
2006Aug,6407674
2006Jul,6368972
2006Jun,6362829
2006May,6317743
2006Apr,6295758
2006Mar,6221533
2006Feb,6176126
2006Jan,6124838
2005Dec,6093186
2005Nov,6027064
2005Oct,6001860
2005Sep,5980748
2005Aug,5914509
2005Jul,5885266
2005Jun,5824959
2005May,5762299
2005Apr,5721454
2005Mar,5679341
2005Feb,5653315
2005Jan,5623288
2004Dec,5573540
2004Nov,5542737
2004Oct,5518152
2004Sep,5484081
2004Aug,5438154
2004Jul,5421035
2004Jun,5385279
2004May,5355734
2004Apr,5341144
2004Mar,5316424
2004Feb,5281581
2004Jan,5259980
2003Dec,5238327
2003Nov,5217471
2003Oct,5200531
2003Sep,5167505
2003Aug,5160933
2003Jul,5123636
2003Jun,5096544
2003May,5088934
2003Apr,5048210
2003Mar,5000011
2003Feb,4968610
2003Jan,4922129
2002Dec,4915147
2002Nov,4890882
2002Oct,4847022
2002Sep,4821013
2002Aug,4785365
2002Jul,4761547
2002Jun,4735880
2002May,4719009
2002Apr,4697507
2002Mar,4662027
2002Feb,4650397
2002Jan,4645232
2001Dec,4615510
2001Nov,4588671
2001Oct,4553696
2001Sep,4533918
2001Aug,4501923
2001Jul,4481145
2001Jun,4467986
2001May,4429759
2001Apr,4412550
2001Mar,4382791
2001Feb,4363192
2001Jan,4340387
2000Dec,4226952
2000Nov,4226830
2000Oct,4225858
2000Sep,4212330
2000Aug,4209465
2000Jul,4183450
2000Jun,4171277
2000May,4168507
2000Apr,4174322
2000Mar,4149339
2000Feb,4136412
2000Jan,4121606
1999Dec,4078868
1999Nov,4066747
1999Oct,4052935
1999Sep,4029253
1999Aug,4024225
1999Jul,4023726
1999Jun,3988595
1999May,3968746
1999Apr,3952443
1999Mar,3930847
1999Feb,3905442
1999Jan,3930982
1998Dec,3848054
1998Nov,3805327
1998Oct,3776275
1998Sep,3756213
1998Aug,3747240
1998Jul,3735036
1998Jun,3742800
1998May,3718207
1998Apr,3695000
1998Mar,3666674
1998Feb,3656642
1998Jan,3638426
1997Dec,3615677
1997Nov,3600773
1997Oct,3595263
1997Sep,3570962
1997Aug,3558109
1997Jul,3548645
1997Jun,3533982
1997May,3514659
1997Apr,3498629
1997Mar,3496684
1997Feb,3493517
1997Jan,3482856
1996Dec,3485231
1996Nov,3455104
1996Oct,3436406
1996Sep,3430659
1996Aug,3412208
1996Jul,3397399
1996Jun,3382265
1996May,3368180
1996Apr,3358564
1996Mar,3337370
1996Feb,3329074
1996Jan,3319911
1995Dec,3312463
1995Nov,3280691
1995Oct,3269129
1995Sep,3256397
1995Aug,3233209
1995Jul,3220407
1995Jun,3212302
1995May,3197971
1995Apr,3182541
1995Mar,3176992
1995Feb,3172336
1995Jan,3158136
1994Dec,3159101
1994Nov,3167131
1994Oct,3169833
1994Sep,3162985
1994Aug,3157950
1994Jul,3155590
1994Jun,3145542
1994May,3135071
1994Apr,3133464
1994Mar,3125371
1994Feb,3101072
1994Jan,3085865
1993Dec,3067025
1993Nov,3037935
1993Oct,3013455
1993Sep,2989060
1993Aug,2977872
1993Jul,2962145
1993Jun,2950419
1993May,2937506
1993Apr,2918598
1993Mar,2905799
1993Feb,2876975
1993Jan,2861813
1992Dec,2853356
1992Nov,2860628
1992Oct,2839113
1992Sep,2836589
1992Aug,2803439
1992Jul,2792853
1992Jun,2784130
1992May,2778249
1992Apr,2764811
1992Mar,2747609
1992Feb,2729621
1992Jan,2720803
1991Dec,2722085
1991Nov,2704447
1991Oct,2683318
1991Sep,2672023
1991Aug,2665240
1991Jul,2650528
1991Jun,2639742
1991May,2630099
1991Apr,2615487
1991Mar,2601696
1991Feb,2601663
1991Jan,2583655
1990Dec,2573883
1990Nov,2560619
1990Oct,2548320
1990Sep,2539282
1990Aug,2521801
1990Jul,2506891
1990Jun,2494707
1990May,2386578
1990Apr,2378067
1990Mar,2371264
1990Feb,2368976
1990Jan,2360748
1989Dec,2343345
1989Nov,2326287
1989Oct,2312607
1989Sep,2303555
1989Aug,2292824
1989Jul,2280165
1989Jun,2263203
1989May,2240671
1989Apr,2224430
1989Mar,2222161
1989Feb,2197853
1989Jan,2185797
1988Dec,2173774
1988Nov,2167024
1988Oct,2154925
1988Sep,2139817
1988Aug,2131825
1988Jul,2116901
1988Jun,2100900
1988May,2090533
1988Apr,2076081
1988Mar,2057427
1988Feb,2046281
1988Jan,2037581
1987Dec,2027444
1987Nov,2024128
1987Oct,2016290
1987Sep,2002177
1987Aug,1992865
1987Jul,1985755
1987Jun,1975973
1987May,1962800
1987Apr,1952955
1987Mar,1940390
1987Feb,1927091
1987Jan,1918425
1986Dec,1903734
1986Nov,1896941
1986Oct,1889296
1986Sep,1872837
1986Aug,1858580
1986Jul,1847233
1986Jun,1832456
1986May,1824547
1986Apr,1815354
1986Mar,1818276
1986Feb,1800828
1986Jan,1792537
1985Dec,1784034
1985Nov,1760581
1985Oct,1755357
1985Sep,1746936
1985Aug,1738364
1985Jul,1731220
1985Jun,1722006
1985May,1715317
1985Apr,1709983
1985Mar,1700138
1985Feb,1691806
1985Jan,1676415
1984Dec,1661882
1984Nov,1649653
1984Oct,1638411
1984Sep,1631220
1984Aug,1617813
1984Jul,1603857
1984Jun,1591965
1984May,1583749
1984Apr,1568820
1984Mar,1559014
1984Feb,1549774
1984Jan,1543563
1983Dec,1537092
1983Nov,1526253
1983Oct,1513481
1983Sep,1503408
1983Aug,1498206
1983Jul,1486582
1983Jun,1474969
1983May,1464343
1983Apr,1453878
1983Mar,1443423
1983Feb,1435898
1983Jan,1425088
1982Dec,1414556
1982Nov,1401761
1982Oct,1389853
1982Sep,1382740
1982Aug,1372472
1982Jul,1358609
1982Jun,1347524
1982May,1334764
1982Apr,1326733
1982Mar,1313351
1982Feb,1299092
1982Jan,1287848
1981Dec,1273805
1981Nov,1264026
1981Oct,1253958
1981Sep,1246150
1981Aug,1234000
1981Jul,1230470
1981Jun,1223076
1981May,1215847
1981Apr,1204188
1981Mar,1194414
1981Feb,1186668
1981Jan,1175008
1980Dec,1165452
1980Nov,1160031
1980Oct,1145159
1980Sep,1133419
1980Aug,1127098
1980Jul,1120452
1980Jun,1109205
1980May,1100958
1980Apr,1093263
1980Mar,1088333
1980Feb,1078232
1980Jan,1070496
