Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?org.apache.struts.taglib.html.TOKEN=eac17648c1bf45f0747dff62c2fe0e6d&df=true&ec=1&dc=&oc=0&pb=1&rc=0&DATASET=133&removeItem=&removedItemList=&mergeFilter=&activeTab=BSI&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=SEARCHRESULTS&q=m2&type=series&legendRef=reference&legendPub=published&legendNor=
,RTD.M.S0.Y.M_M2_V_NC.E
,"Euro area (moving concept in the Real Time database context) - Monetary aggregate M2, all currencies combined - MFIs, central government and post office giro institutions reporting sector - Euro area counterpart, Non-MFIs excluding central government sector - outstanding amounts at the end of the period (stocks) - Euro"
Collection:,End of period (E)
Period\Unit:,[Millions of Euro]
2020Apr,12942604
2020Mar,12761812
2020Feb,12441656
2020Jan,12356841
2019Dec,12395573
2019Nov,12401158
2019Oct,12293354
2019Sep,12251062
2019Aug,12264202
2019Jul,12150180
2019Jun,12114558
2019May,12032380
2019Apr,11942470
2019Mar,11886678
2019Feb,11741105
2019Jan,11693187
2018Dec,11714733
2018Nov,11668263
2018Oct,11581406
2018Sep,11566479
2018Aug,11519247
2018Jul,11518476
2018Jun,11529057
2018May,11419499
2018Apr,11316667
2018Mar,11282735
2018Feb,11217607
2018Jan,11220396
2017Dec,11233795
2017Nov,11175531
2017Oct,11114353
2017Sep,11098267
2017Aug,11073582
2017Jul,11032488
2017Jun,11007627
2017May,10939553
2017Apr,10927123
2017Mar,10860500
2017Feb,10769895
2017Jan,10734715
2016Dec,10735858
2016Nov,10660028
2016Oct,10568291
2016Sep,10551919
2016Aug,10533407
2016Jul,10542969
2016Jun,10473325
2016May,10440837
2016Apr,10399146
2016Mar,10322666
2016Feb,10278374
2016Jan,10264180
2015Dec,10228433
2015Nov,10180679
2015Oct,10114071
2015Sep,10040556
2015Aug,10032566
2015Jul,10027935
2015Jun,9973897
2015May,9940369
2015Apr,9869932
2015Mar,9801247
2015Feb,9737234
2015Jan,9738729
2014Dec,9695399
2014Nov,9567457
2014Oct,9476256
2014Sep,9466964
2014Aug,9443647
2014Jul,9400331
2014Jun,9384212
2014May,9360278
2014Apr,9297491
2014Mar,9270958
2014Feb,9232803
2014Jan,9221350
2013Dec,9246611
2013Nov,9233295
2013Oct,9198418
2013Sep,9178509
2013Aug,9182537
2013Jul,9152050
2013Jun,9161985
2013May,9137227
2013Apr,9125702
2013Mar,9079303
2013Feb,9016092
2013Jan,9000857
2012Dec,9044640
2012Nov,8955966
2012Oct,8928498
2012Sep,8866346
2012Aug,8826211
2012Jul,8833838
2012Jun,8810356
2012May,8752513
2012Apr,8721254
2012Mar,8718043
2012Feb,8648412
2012Jan,8640111
2011Dec,8670607
2011Nov,8565195
2011Oct,8555870
2011Sep,8568032
2011Aug,8530700
2011Jul,8522262
2011Jun,8517984
2011May,8488119
2011Apr,8482015
2011Mar,8441080
2011Feb,8415890
2011Jan,8435755
2010Dec,8472295
2010Nov,8388301
2010Oct,8378476
2010Sep,8344373
2010Aug,8342474
2010Jul,8337673
2010Jun,8333155
2010May,8301215
2010Apr,8268952
2010Mar,8209452
2010Feb,8210916
2010Jan,8234925
2009Dec,8275091
2009Nov,8169984
2009Oct,8178414
2009Sep,8153645
2009Aug,8152962
2009Jul,8170120
2009Jun,8186153
2009May,8157432
2009Apr,8164981
2009Mar,8094023
2009Feb,8093799
2009Jan,8101892
2008Dec,8103057
2008Nov,8018985
2008Oct,7972122
2008Sep,7839899
2008Aug,7759476
2008Jul,7750324
2008Jun,7734627
2008May,7688720
2008Apr,7625571
2008Mar,7544871
2008Feb,7471675
2008Jan,7449456
2007Dec,7436874
2007Nov,7288789
2007Oct,7229789
2007Sep,7140136
2007Aug,7044759
2007Jul,7063718
2007Jun,7023577
2007May,6928873
2007Apr,6875258
2007Mar,6830309
2007Feb,6707664
2007Jan,6704079
2006Dec,6743791
2006Nov,6535927
2006Oct,6472185
2006Sep,6461105
2006Aug,6360016
2006Jul,6382249
2006Jun,6386776
2006May,6321177
2006Apr,6316677
2006Mar,6212517
2006Feb,6157331
2006Jan,6134008
2005Dec,6168737
2005Nov,6002366
2005Oct,5976941
2005Sep,5939643
2005Aug,5859423
2005Jul,5896526
2005Jun,5858475
2005May,5778327
2005Apr,5738282
2005Mar,5680387
2005Feb,5643364
2005Jan,5637298
2004Dec,5632265
2004Nov,5528865
2004Oct,5490285
2004Sep,5451083
2004Aug,5397916
2004Jul,5428440
2004Jun,5408012
2004May,5377365
2004Apr,5344467
2004Mar,5310219
2004Feb,5273548
2004Jan,5271712
2003Dec,5297999
2003Nov,5206044
2003Oct,5157878
2003Sep,5136978
2003Aug,5125966
2003Jul,5124234
2003Jun,5130101
2003May,5109432
2003Apr,5052347
2003Mar,5006352
2003Feb,4951523
2003Jan,4923614
2002Dec,4981449
2002Nov,4875496
2002Oct,4811015
2002Sep,4792133
2002Aug,4750263
2002Jul,4758307
2002Jun,4768158
2002May,4728195
2002Apr,4706318
2002Mar,4670235
2002Feb,4644451
2002Jan,4655663
2001Dec,4684363
2001Nov,4565041
2001Oct,4512933
2001Sep,4508739
2001Aug,4461073
2001Jul,4479923
2001Jun,4492195
2001May,4445379
2001Apr,4422968
2001Mar,4385080
2001Feb,4355581
2001Jan,4348576
2000Dec,4299630
2000Nov,4210799
2000Oct,4187284
2000Sep,4182500
2000Aug,4176869
2000Jul,4184938
2000Jun,4186421
2000May,4177617
2000Apr,4186038
2000Mar,4143894
2000Feb,4133651
2000Jan,4137751
1999Dec,4142298
1999Nov,4049147
1999Oct,4019772
1999Sep,4000412
1999Aug,3991118
1999Jul,4021979
1999Jun,4005344
1999May,3979502
1999Apr,3950654
1999Mar,3929382
1999Feb,3911195
1999Jan,3953260
1998Dec,3920142
1998Nov,3789869
1998Oct,3740076
1998Sep,3725841
1998Aug,3718421
1998Jul,3725595
1998Jun,3758292
1998May,3727306
1998Apr,3698170
1998Mar,3666889
1998Feb,3660607
1998Jan,3658505
1997Dec,3687146
1997Nov,3587644
1997Oct,3555327
1997Sep,3543278
1997Aug,3531781
1997Jul,3542370
1997Jun,3549216
1997May,3516345
1997Apr,3498558
1997Mar,3500177
1997Feb,3493103
1997Jan,3499192
1996Dec,3562479
1996Nov,3438163
1996Oct,3403007
1996Sep,3406184
1996Aug,3382843
1996Jul,3386524
1996Jun,3397323
1996May,3362529
1996Apr,3359123
1996Mar,3344138
1996Feb,3332905
1996Jan,3337995
1995Dec,3397475
1995Nov,3263208
1995Oct,3235715
1995Sep,3233082
1995Aug,3203359
1995Jul,3212065
1995Jun,3218329
1995May,3192383
1995Apr,3187017
1995Mar,3176207
1995Feb,3172637
1995Jan,3176293
1994Dec,3243755
1994Nov,3148097
1994Oct,3139823
1994Sep,3135704
1994Aug,3126004
1994Jul,3149190
1994Jun,3154660
1994May,3129450
1994Apr,3133737
1994Mar,3126996
1994Feb,3102600
1994Jan,3105703
1993Dec,3150266
1993Nov,3020874
1993Oct,2987300
1993Sep,2966997
1993Aug,2948714
1993Jul,2953701
1993Jun,2955816
1993May,2933359
1993Apr,2913546
1993Mar,2902894
1993Feb,2879792
1993Jan,2882795
1992Dec,2939888
1992Nov,2847433
1992Oct,2812531
1992Sep,2814038
1992Aug,2778097
1992Jul,2781924
1992Jun,2789467
1992May,2774682
1992Apr,2761474
1992Mar,2742354
1992Feb,2729984
1992Jan,2735280
1991Dec,2808376
1991Nov,2689380
1991Oct,2656288
1991Sep,2657215
1991Aug,2637304
1991Jul,2645258
1991Jun,2651888
1991May,2613692
1991Apr,2612112
1991Mar,2600460
1991Feb,2599248
1991Jan,2600176
1990Dec,2658683
1990Nov,2542044
1990Oct,2525949
1990Sep,2528301
1990Aug,2490324
1990Jul,2504399
1990Jun,2496900
1990May,2375964
1990Apr,2376184
1990Mar,2359966
1990Feb,2370043
1990Jan,2379739
1989Dec,2419118
1989Nov,2316284
1989Oct,2294257
1989Sep,2286376
1989Aug,2269840
1989Jul,2281877
1989Jun,2259786
1989May,2231284
1989Apr,2223905
1989Mar,2206061
1989Feb,2200475
1989Jan,2206076
1988Dec,2232947
1988Nov,2159819
1988Oct,2140644
1988Sep,2119614
1988Aug,2112574
1988Jul,2121632
1988Jun,2102394
1988May,2081419
1988Apr,2067842
1988Mar,2048098
1988Feb,2051778
1988Jan,2062080
1987Dec,2080922
1987Nov,2019573
1987Oct,1998287
1987Sep,1989848
1987Aug,1977508
1987Jul,1979141
1987Jun,1978993
1987May,1958133
1987Apr,1945622
1987Mar,1934631
1987Feb,1928710
1987Jan,1935951
1986Dec,1955310
1986Nov,1893614
1986Oct,1868051
1986Sep,1861344
1986Aug,1845874
1986Jul,1844954
1986Jun,1836445
1986May,1814401
1986Apr,1810348
1986Mar,1815499
1986Feb,1800065
1986Jan,1805907
1985Dec,1833589
1985Nov,1750081
1985Oct,1738990
1985Sep,1737336
1985Aug,1720281
1985Jul,1729206
1985Jun,1726676
1985May,1703110
1985Apr,1706597
1985Mar,1700498
1985Feb,1696299
1985Jan,1693243
1984Dec,1710855
1984Nov,1634801
1984Oct,1623302
1984Sep,1623248
1984Aug,1596946
1984Jul,1601634
1984Jun,1590888
1984May,1576865
1984Apr,1567986
1984Mar,1555115
1984Feb,1556309
1984Jan,1560794
1983Dec,1579251
1983Nov,1516045
1983Oct,1500376
1983Sep,1487292
1983Aug,1482811
1983Jul,1487081
1983Jun,1474462
1983May,1460615
1983Apr,1450437
1983Mar,1441222
1983Feb,1444592
1983Jan,1442306
1982Dec,1449908
1982Nov,1391951
1982Oct,1378429
1982Sep,1370312
1982Aug,1358537
1982Jul,1354396
1982Jun,1348117
1982May,1333498
1982Apr,1321306
1982Mar,1313237
1982Feb,1308889
1982Jan,1304501
1981Dec,1308299
1981Nov,1256082
1981Oct,1239115
1981Sep,1235503
1981Aug,1222519
1981Jul,1224131
1981Jun,1224320
1981May,1216320
1981Apr,1201981
1981Mar,1195068
1981Feb,1191439
1981Jan,1185788
1980Dec,1198035
1980Nov,1154240
1980Oct,1128916
1980Sep,1124085
1980Aug,1117515
1980Jul,1117561
1980Jun,1112044
1980May,1097620
1980Apr,1092061
1980Mar,1090055
1980Feb,1080016
1980Jan,1080273
