Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?org.apache.struts.taglib.html.TOKEN=515df2b47a4a0845bb39f8c8c33eea05&df=true&ec=1&dc=&oc=0&pb=1&rc=0&DATASET=133&removeItem=&removedItemList=&mergeFilter=&activeTab=BSI&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=SEARCHRESULTS&q=m2&type=series&legendRef=reference&legendPub=published&legendNor=
,RTD.M.JP.Y.M_M2.J
,Japan - Money stock M2 - Japanese Yen
Collection:,Average of observations through period (A)
Period\Unit:,[Billions of Japanese yen]
2020Apr,1059230.0
2020Mar,1051397.1
2020Feb,1046390.9
2020Jan,1042299.3
2019Dec,1039976.2
2019Nov,1037894.3
2019Oct,1034860.6
2019Sep,1032567.7
2019Aug,1030041.6
2019Jul,1027528.8
2019Jun,1025513.0
2019May,1025178.8
2019Apr,1021726.8
2019Mar,1018113.7
2019Feb,1016186.6
2019Jan,1014132.4
2018Dec,1012490.4
2018Nov,1010892.2
2018Oct,1010704.3
2018Sep,1008591.5
2018Aug,1006215.7
2018Jul,1004214.4
2018Jun,1002280.5
2018May,999122.8
2018Apr,996885.7
2018Mar,994387.4
2018Feb,992516.2
2018Jan,990693.0
2017Dec,988614.5
2017Nov,988140.8
2017Oct,984601.7
2017Sep,981145.0
2017Aug,978270.5
2017Jul,975642.1
2017Jun,972301.7
2017May,968620.8
2017Apr,966333.7
2017Mar,964512.8
2017Feb,961457.1
2017Jan,957638.7
2016Dec,954112.4
2016Nov,950401.2
2016Oct,946503.3
2016Sep,943374.0
2016Aug,940769.7
2016Jul,938211.8
2016Jun,935665.7
2016May,933311.0
2016Apr,929719.2
2016Mar,925639.5
2016Feb,923075.6
2016Jan,920969.2
2015Dec,918273.0
2015Nov,916017.0
2015Oct,914351.9
2015Sep,912484.7
2015Aug,912103.5
2015Jul,908109.0
2015Jun,905275.3
2015May,903840.0
2015Apr,899797.5
2015Mar,897784.8
2015Feb,895213.7
2015Jan,893085.0
2014Dec,890864.9
2014Nov,887341.4
2014Oct,882773.9
2014Sep,879375.8
2014Aug,876043.5
2014Jul,873520.0
2014Jun,871522.4
2014May,868960.8
2014Apr,868100.3
2014Mar,866253.1
2014Feb,865335.6
2014Jan,864755.6
2013Dec,861001.2
2013Nov,857553.0
2013Oct,855974.3
2013Sep,853134.1
2013Aug,850555.0
2013Jul,847996.3
2013Jun,845635.4
2013May,841700.8
2013Apr,838675.4
2013Mar,836210.5
2013Feb,832669.0
2013Jan,829434.8
2012Dec,826633.9
2012Nov,822290.0
2012Oct,822066.2
2012Sep,821125.8
2012Aug,819330.7
2012Jul,817129.7
2012Jun,814578.8
2012May,813468.0
2012Apr,812564.4
2012Mar,811585.7
2012Feb,809359.2
2012Jan,808092.8
2011Dec,806482.7
2011Nov,805654.1
2011Oct,803722.6
2011Sep,801514.0
2011Aug,799513.9
2011Jul,798693.4
2011Jun,796630.1
2011May,796007.6
2011Apr,791863.6
2011Mar,788510.4
2011Feb,786270.8
2011Jan,784211.4
2010Dec,782138.9
2010Nov,782403.9
2010Oct,781838.9
2010Sep,780138.8
2010Aug,778406.6
2010Jul,775916.1
2010Jun,774773.4
2010May,775184.4
2010Apr,771068.5
2010Mar,768552.2
2010Feb,767506.8
2010Jan,766263.9
2009Dec,764217.7
2009Nov,762997.4
2009Oct,761020.9
2009Sep,759118.4
2009Aug,757300.1
2009Jul,755395.1
2009Jun,753134.7
2009May,752021.2
2009Apr,749690.0
2009Mar,748269.2
2009Feb,746642.1
2009Jan,743676.1
2008Dec,741155.8
2008Nov,738792.9
2008Oct,736400.7
2008Sep,737261.6
2008Aug,736725.1
2008Jul,735455.1
2008Jun,734960.0
2008May,732675.0
2008Apr,730212.9
2008Mar,731594.5
2008Feb,730917.8
2008Jan,729015.4
2007Dec,727503.6
2007Nov,725686.2
2007Oct,723465.6
2007Sep,721575.1
2007Aug,719585.9
2007Jul,720104.8
2007Jun,719442.7
2007May,717991.4
2007Apr,716713.9
2007Mar,715379.4
2007Feb,714293.0
2007Jan,713578.0
2006Dec,712341.0
2006Nov,711339.1
2006Oct,710058.4
2006Sep,709316.5
2006Aug,707176.3
2006Jul,705546.3
2006Jun,707097.7
2006May,707657.6
2006Apr,708567.9
2006Mar,707748.3
2006Feb,707435.7
2006Jan,707248.2
2005Dec,707269.4
2005Nov,707193.5
2005Oct,706166.1
2005Sep,705682.1
2005Aug,704061.5
2005Jul,701725.7
2005Jun,699609.4
2005May,698358.6
2005Apr,697480.5
2005Mar,698263.0
2005Feb,695736.0
2005Jan,695104.7
2004Dec,694131.3
2004Nov,693380.7
2004Oct,692886.2
2004Sep,692121.8
2004Aug,692897.1
2004Jul,690146.6
2004Jun,688492.1
2004May,688090.2
2004Apr,685280.7
2004Mar,684395.5
2004Feb,683372.1
2004Jan,681751.0
2003Dec,680287.5
2003Nov,680042.3
2003Oct,679564.4
2003Sep,678956.2
2003Aug,680230.4
2003Jul,677501.1
2003Jun,676599.5
2003May,674616.8
2003Apr,672655.5
