Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?org.apache.struts.taglib.html.TOKEN=515df2b47a4a0845bb39f8c8c33eea05&df=true&ec=1&dc=&oc=0&pb=1&rc=0&DATASET=133&removeItem=&removedItemList=&mergeFilter=&activeTab=BSI&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=SEARCHRESULTS&q=m2&type=series&legendRef=reference&legendPub=published&legendNor=
,RTD.M.US.Y.M_M2.U
,United States - Money stock M2 - US dollar
Collection:,Average of observations through period (A)
Period\Unit:,[Billions of US dollar]
2020Apr,17177.0
2020Mar,16103.8
2020Feb,15511.5
2020Jan,15417.9
2019Dec,15302.4
2019Nov,15247.5
2019Oct,15147.1
2019Sep,15020.8
2019Aug,14931.2
2019Jul,14859.9
2019Jun,14780.7
2019May,14653.2
2019Apr,14558.3
2019Mar,14511.8
2019Feb,14464.4
2019Jan,14434.6
2018Dec,14351.8
2018Nov,14245.4
2018Oct,14235.4
2018Sep,14228.5
2018Aug,14197.0
2018Jul,14153.0
2018Jun,14120.0
2018May,14054.9
2018Apr,13989.1
2018Mar,13952.6
2018Feb,13892.8
2018Jan,13858.4
2017Dec,13835.7
2017Nov,13794.0
2017Oct,13769.0
2017Sep,13716.4
2017Aug,13673.8
2017Jul,13618.3
2017Jun,13558.2
2017May,13530.5
2017Apr,13476.8
2017Mar,13411.4
2017Feb,13341.1
2017Jan,13275.4
2016Dec,13198.9
2016Nov,13169.6
2016Oct,13099.3
2016Sep,13030.7
2016Aug,12969.7
2016Jul,12882.3
2016Jun,12823.6
2016May,12756.0
2016Apr,12687.2
2016Mar,12597.9
2016Feb,12534.3
2016Jan,12458.0
2015Dec,12330.1
2015Nov,12274.2
2015Oct,12185.0
2015Sep,12153.1
2015Aug,12097.6
2015Jul,12046.6
2015Jun,11994.6
2015May,11949.3
2015Apr,11916.6
2015Mar,11869.4
2015Feb,11852.5
2015Jan,11732.1
2014Dec,11668.0
2014Nov,11590.6
2014Oct,11551.4
2014Sep,11492.0
2014Aug,11457.6
2014Jul,11428.4
2014Jun,11367.1
2014May,11314.8
2014Apr,11246.5
2014Mar,11190.3
2014Feb,11148.7
2014Jan,11065.6
2013Dec,11015.0
2013Nov,10953.0
2013Oct,10945.2
2013Sep,10832.6
2013Aug,10780.4
2013Jul,10721.9
2013Jun,10665.9
2013May,10611.3
2013Apr,10575.1
2013Mar,10539.7
2013Feb,10468.2
2013Jan,10471.2
2012Dec,10445.7
2012Nov,10319.9
2012Oct,10261.3
2012Sep,10200.2
2012Aug,10117.9
2012Jul,10046.8
2012Jun,9973.6
2012May,9903.8
2012Apr,9872.1
2012Mar,9817.8
2012Feb,9773.1
2012Jan,9730.3
2011Dec,9651.1
2011Nov,9612.3
2011Oct,9571.3
2011Sep,9539.7
2011Aug,9515.1
2011Jul,9301.4
2011Jun,9113.4
2011May,9029.2
2011Apr,8977.9
2011Mar,8915.7
2011Feb,8871.4
2011Jan,8825.9
2010Dec,8789.3
2010Nov,8757.4
2010Oct,8736.7
2010Sep,8687.7
2010Aug,8656.5
2010Jul,8606.2
2010Jun,8596.6
2010May,8577.5
2010Apr,8522.8
2010Mar,8492.4
2010Feb,8495.3
2010Jan,8445.7
2009Dec,8483.4
2009Nov,8488.4
2009Oct,8458.3
2009Sep,8431.5
2009Aug,8432.2
2009Jul,8432.5
2009Jun,8427.8
2009May,8418.2
2009Apr,8360.7
2009Mar,8357.6
2009Feb,8291.6
2009Jan,8262.4
2008Dec,8181.0
2008Nov,8004.6
2008Oct,7954.0
2008Sep,7845.9
2008Aug,7776.0
2008Jul,7761.0
2008Jun,7714.6
2008May,7697.1
2008Apr,7685.2
2008Mar,7642.5
2008Feb,7576.5
2008Jan,7491.8
2007Dec,7458.0
2007Nov,7427.8
2007Oct,7402.8
2007Sep,7389.2
2007Aug,7370.9
2007Jul,7294.5
2007Jun,7264.2
2007May,7231.0
2007Apr,7217.4
2007Mar,7145.1
2007Feb,7111.3
2007Jan,7095.5
2006Dec,7057.5
2006Nov,7014.3
2006Oct,6979.5
2006Sep,6930.5
2006Aug,6903.3
2006Jul,6872.5
2006Jun,6831.0
2006May,6793.0
2006Apr,6786.4
2006Mar,6749.3
2006Feb,6734.8
2006Jan,6710.5
2005Dec,6668.0
2005Nov,6641.2
2005Oct,6624.7
2005Sep,6590.7
2005Aug,6556.6
2005Jul,6523.9
2005Jun,6492.3
2005May,6459.9
2005Apr,6442.6
2005Mar,6428.6
2005Feb,6419.6
2005Jan,6411.2
2004Dec,6405.0
2004Nov,6386.4
2004Oct,6359.9
2004Sep,6331.7
2004Aug,6297.1
2004Jul,6271.0
2004Jun,6257.3
2004May,6255.0
2004Apr,6178.4
2004Mar,6137.4
2004Feb,6101.6
2004Jan,6062.7
2003Dec,6054.2
2003Nov,6056.1
2003Oct,6050.9
2003Sep,6060.1
2003Aug,6088.2
2003Jul,6030.0
2003Jun,5983.3
2003May,5946.6
2003Apr,5886.5
2003Mar,5849.3
2003Feb,5828.5
2003Jan,5792.3
2002Dec,5759.7
2002Nov,5738.4
2002Oct,5688.3
2002Sep,5643.7
2002Aug,5619.4
2002Jul,5576.9
2002Jun,5534.3
2002May,5509.4
2002Apr,5483.5
2002Mar,5483.4
2002Feb,5471.4
2002Jan,5442.0
2001Dec,5421.6
2001Nov,5368.5
2001Oct,5324.9
2001Sep,5336.3
2001Aug,5225.2
2001Jul,5191.3
2001Jun,5161.3
2001May,5121.1
2001Apr,5124.4
2001Mar,5060.4
2001Feb,5002.6
2001Jan,4964.3
2000Dec,4913.7
2000Nov,4869.0
2000Oct,4858.2
2000Sep,4842.2
2000Aug,4806.6
2000Jul,4778.4
2000Jun,4760.9
2000May,4743.1
2000Apr,4755.6
2000Mar,4699.8
2000Feb,4669.0
2000Jan,4655.7
1999Dec,4627.4
1999Nov,4599.9
1999Oct,4580.9
1999Sep,4557.2
1999Aug,4541.2
1999Jul,4523.9
1999Jun,4496.7
1999May,4474.9
1999Apr,4450.6
1999Mar,4422.0
1999Feb,4415.2
1999Jan,4392.4
1998Dec,4365.0
1998Nov,4336.1
1998Oct,4297.5
1998Sep,4257.4
1998Aug,4218.5
1998Jul,4193.5
1998Jun,4173.8
1998May,4154.0
1998Apr,4130.1
1998Mar,4104.3
1998Feb,4078.8
1998Jan,4046.1
1997Dec,4022.8
1997Nov,4004.6
1997Oct,3982.1
1997Sep,3963.0
1997Aug,3947.3
1997Jul,3913.8
1997Jun,3895.8
1997May,3879.1
1997Apr,3867.2
1997Mar,3851.2
1997Feb,3836.3
1997Jan,3824.6
1996Dec,3810.4
1996Nov,3790.0
1996Oct,3770.9
1996Sep,3753.5
1996Aug,3744.1
1996Jul,3737.2
1996Jun,3722.5
1996May,3709.6
1996Apr,3697.8
1996Mar,3687.0
1996Feb,3661.8
1996Jan,3647.9
1995Dec,3629.5
1995Nov,3619.9
1995Oct,3613.4
1995Sep,3602.1
1995Aug,3589.0
1995Jul,3567.4
1995Jun,3548.9
1995May,3524.2
1995Apr,3499.2
1995Mar,3491.1
1995Feb,3489.9
1995Jan,3492.4
1994Dec,3486.4
1994Nov,3487.2
1994Oct,3484.3
1994Sep,3486.1
1994Aug,3485.7
1994Jul,3488.2
1994Jun,3479.5
1994May,3490.8
1994Apr,3481.3
1994Mar,3480.1
1994Feb,3475.7
1994Jan,3474.9
1993Dec,3474.5
1993Nov,3470.1
1993Oct,3456.7
1993Sep,3452.2
1993Aug,3445.7
1993Jul,3442.0
1993Jun,3442.4
1993May,3436.9
1993Apr,3411.3
1993Mar,3411.7
1993Feb,3414.5
1993Jan,3419.1
1992Dec,3424.7
1992Nov,3426.5
1992Oct,3423.8
1992Sep,3410.3
1992Aug,3398.8
1992Jul,3393.9
1992Jun,3393.4
1992May,3398.6
1992Apr,3399.7
1992Mar,3403.9
1992Feb,3400.0
1992Jan,3381.2
1991Dec,3372.2
1991Nov,3365.5
1991Oct,3360.1
1991Sep,3354.9
1991Aug,3355.0
1991Jul,3356.1
1991Jun,3351.9
1991May,3343.0
1991Apr,3332.4
1991Mar,3321.9
1991Feb,3304.5
1991Jan,3287.7
1990Dec,3271.8
1990Nov,3262.6
1990Oct,3259.3
1990Sep,3254.6
1990Aug,3242.0
1990Jul,3224.5
1990Jun,3213.7
1990May,3200.6
1990Apr,3201.6
1990Mar,3190.1
1990Feb,3179.2
1990Jan,3166.8
1989Dec,3152.5
1989Nov,3133.3
1989Oct,3114.1
1989Sep,3092.5
1989Aug,3074.4
1989Jul,3052.4
1989Jun,3027.9
