Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?org.apache.struts.taglib.html.TOKEN=a572104ed65eb1b897e1847ff1c6ec0f&df=true&ec=1&dc=&oc=0&pb=1&rc=0&DATASET=133&removeItem=&removedItemList=&mergeFilter=&activeTab=BSI&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=SEARCHRESULTS&q=m3&type=series&legendRef=reference&legendPub=published&legendNor=
,RTD.M.S0.N.M_M3_V_NC.E
,"Euro area (moving concept in the Real Time database context) - Monetary aggregate M3, all currencies combined - MFIs, central government and post office giro institutions reporting sector - Euro area counterpart, Non-MFIs excluding central government sector - outstanding amounts at the end of the period (stocks) - Euro"
Collection:,End of period (E)
Period\Unit:,[Millions of Euro]
2020Apr,13638559
2020Mar,13478284
2020Feb,13149702
2020Jan,13045243
2019Dec,12995152
2019Nov,13003519
2019Oct,12971395
2019Sep,12914362
2019Aug,12875155
2019Jul,12775954
2019Jun,12689970
2019May,12646904
2019Apr,12579987
2019Mar,12526404
2019Feb,12451034
2019Jan,12387959
2018Dec,12371781
2018Nov,12298026
2018Oct,12257704
2018Sep,12200687
2018Aug,12149373
2018Jul,12125215
2018Jun,12121539
2018May,12045885
2018Apr,11978048
2018Mar,11936531
2018Feb,11919875
2018Jan,11902964
2017Dec,11867538
2017Nov,11845935
2017Oct,11800366
2017Sep,11780881
2017Aug,11736917
2017Jul,11667256
2017Jun,11633918
2017May,11603492
2017Apr,11579974
2017Mar,11580111
2017Feb,11487782
2017Jan,11437628
2016Dec,11389727
2016Nov,11336311
2016Oct,11263383
2016Sep,11244842
2016Aug,11203378
2016Jul,11183884
2016Jun,11110099
2016May,11077866
2016Apr,11038824
2016Mar,10990024
2016Feb,10971463
2016Jan,10913880
2015Dec,10850414
2015Nov,10833535
2015Oct,10779206
2015Sep,10700532
2015Aug,10663019
2015Jul,10653934
2015Jun,10572599
2015May,10564368
2015Apr,10548824
2015Mar,10474607
2015Feb,10432320
2015Jan,10403219
2014Dec,10334896
2014Nov,10188847
2014Oct,10122499
2014Sep,10100260
2014Aug,10053503
2014Jul,10006502
2014Jun,9968349
2014May,9939497
2014Apr,9883360
2014Mar,9891698
2014Feb,9891700
2014Jan,9872110
2013Dec,9835620
2013Nov,9886027
2013Oct,9878409
2013Sep,9870409
2013Aug,9871620
2013Jul,9832183
2013Jun,9817992
2013May,9835327
2013Apr,9822056
2013Mar,9805679
2013Feb,9784921
2013Jan,9768325
2012Dec,9787906
2012Nov,9780085
2012Oct,9777911
2012Sep,9715902
2012Aug,9692468
2012Jul,9702905
2012Jun,9652253
2012May,9627499
2012Apr,9575765
2012Mar,9606810
2012Feb,9539422
2012Jan,9508902
2011Dec,9497601
2011Nov,9477462
2011Oct,9457613
2011Sep,9489156
2011Aug,9460829
2011Jul,9394034
2011Jun,9380296
2011May,9367207
2011Apr,9349477
2011Mar,9342714
2011Feb,9332041
2011Jan,9323506
2010Dec,9294345
2010Nov,9291432
2010Oct,9272859
2010Sep,9269823
2010Aug,9264991
2010Jul,9232355
2010Jun,9233854
2010May,9388432
2010Apr,9375643
2010Mar,9331385
2010Feb,9330393
2010Jan,9332427
2009Dec,9346624
2009Nov,9355890
2009Oct,9385471
2009Sep,9410144
2009Aug,9387972
2009Jul,9430570
2009Jun,9421211
2009May,9420603
2009Apr,9452907
2009Mar,9405475
