Data Source in SDW: https://sdw.ecb.europa.eu/browseSelection.do?org.apache.struts.taglib.html.TOKEN=a572104ed65eb1b897e1847ff1c6ec0f&df=true&ec=1&dc=&oc=0&pb=1&rc=0&DATASET=133&removeItem=&removedItemList=&mergeFilter=&activeTab=BSI&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=SEARCHRESULTS&q=m3&type=series&legendRef=reference&legendPub=published&legendNor=
,RTD.M.S0.Y.M_M3_V_NC.E
,"Euro area (moving concept in the Real Time database context) - Monetary aggregate M3, all currencies combined - MFIs, central government and post office giro institutions reporting sector - Euro area counterpart, Non-MFIs excluding central government sector - outstanding amounts at the end of the period (stocks) - Euro"
Collection:,End of period (E)
Period\Unit:,[Millions of Euro]
2020Apr,13637225
2020Mar,13457894
2020Feb,13104408
2020Jan,13005771
2019Dec,12995162
2019Nov,13041571
2019Oct,12936660
2019Sep,12883210
2019Aug,12915000
2019Jul,12798221
2019Jun,12741232
2019May,12675100
2019Apr,12591361
2019Mar,12519194
2019Feb,12389036
2019Jan,12348989
2018Dec,12363620
2018Nov,12313348
2018Oct,12226359
2018Sep,12185129
2018Aug,12166680
2018Jul,12158981
2018Jun,12167956
2018May,12067591
2018Apr,11987330
2018Mar,11930304
2018Feb,11864058
2018Jan,11866922
2017Dec,11871539
2017Nov,11855119
2017Oct,11784629
2017Sep,11765266
2017Aug,11747744
2017Jul,11695142
2017Jun,11658467
2017May,11621791
2017Apr,11604767
2017Mar,11556324
2017Feb,11452748
2017Jan,11417625
2016Dec,11392602
2016Nov,11340473
2016Oct,11244901
2016Sep,11213393
2016Aug,11210074
2016Jul,11220929
2016Jun,11128237
2016May,11105871
2016Apr,11066329
2016Mar,10965213
2016Feb,10939097
2016Jan,10904554
2015Dec,10837680
2015Nov,10838723
2015Oct,10773953
2015Sep,10666493
2015Aug,10671135
2015Jul,10673490
2015Jun,10598577
2015May,10598223
2015Apr,10561863
2015Mar,10460794
2015Feb,10417313
2015Jan,10395761
2014Dec,10328136
2014Nov,10196211
2014Oct,10103037
2014Sep,10077045
2014Aug,10068184
2014Jul,10017900
2014Jun,9986860
2014May,9970853
2014Apr,9900284
2014Mar,9878638
2014Feb,9864753
2014Jan,9852349
2013Dec,9849473
2013Nov,9885412
2013Oct,9857474
2013Sep,9843987
2013Aug,9882187
2013Jul,9838325
2013Jun,9846649
2013May,9854519
2013Apr,9852611
2013Mar,9803283
2013Feb,9754428
2013Jan,9747376
2012Dec,9807968
2012Nov,9759439
2012Oct,9754761
2012Sep,9700182
2012Aug,9687649
2012Jul,9712259
2012Jun,9683132
2012May,9646448
2012Apr,9608370
2012Mar,9605843
2012Feb,9505535
2012Jan,9495265
2011Dec,9535047
2011Nov,9448343
2011Oct,9436921
2011Sep,9465969
2011Aug,9446140
2011Jul,9405853
2011Jun,9404391
2011May,9391994
2011Apr,9391507
2011Mar,9328842
2011Feb,9298648
2011Jan,9309189
2010Dec,9320772
2010Nov,9270087
2010Oct,9257331
2010Sep,9248048
2010Aug,9251623
2010Jul,9242776
2010Jun,9256526
2010May,9427101
2010Apr,9399886
2010Mar,9313183
2010Feb,9303401
2010Jan,9326164
2009Dec,9382249
2009Nov,9341008
2009Oct,9362116
2009Sep,9378228
2009Aug,9379997
2009Jul,9420891
2009Jun,9457503
2009May,9462893
2009Apr,9490159
